Metric,Train,Test,Gap
Accuracy,0.9839029001533907,0.9808796775229194,0.0030232226304712784
Precision,0.9841382332851746,0.9810555071327457,0.003082726152428883
F1-Score,0.9836657112973778,0.9805864080616253,0.003079303235752451
