,precision,recall,f1-score,support
0,0.9787839020122485,0.9977258539195577,0.9881641125292585,22426.0
1,0.9901411173400348,0.9135009809167113,0.950278293135436,5607.0
accuracy,0.9808796775229194,0.9808796775229194,0.9808796775229194,0.9808796775229194
macro avg,0.9844625096761417,0.9556134174181345,0.9692212028323473,28033.0
weighted avg,0.9810555071327457,0.9808796775229194,0.9805864080616253,28033.0
